D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Proteobacteria,Day,well-id,latitude,longitude,injection,Nitrate(mg/L),Sulfate(mg/L),Acetate(uM),Iron(ppb),Mn(ppb),U(ppb),pH,conductivity(us/cm),ReDox(mV),injection.proximity
0,4,260,218,291,21,0,2602,246406,1,FW216,35.97567105,84.27471076,1,9.5,63.18,na,13.103,158.886,1245.155,7.46,762.2,-110,2m
20,202,26,21,576,72,26,37,2081,106,FW215,35.97571524,84.27472215,0,20.6448,63.9647,63.7513,5.368,237.627,855.005,7.66,602.3,-23,2m
2691,11400,2853,1309,27249,4783,2075,5490,107216,106,FW216,35.97567105,84.27471076,1,27.4708,62.0951,70.4136,-11.687,636.436,1133.071,6.72,617.9,25,2m
1953,8273,2043,750,19081,4129,1736,2857,81120,106,GP01,35.97564854,84.27470382,1,27.4569,60.4031,105.8124,814.108,149.72,685.838,6.6,730.9,24,control
2477,7789,4353,1088,21385,5423,1967,27613,141873,106,GP03,35.97559505,84.27468959,1,10.3373,59.4923,256.7487,14003.95,8327.689,268.699,6.62,604.6,25,7m
1436,4642,2338,613,16354,2187,1788,2367,78149,106,MLSB3,35.97567215,84.27469319,1,6.8527,59.2133,10.0046,2197.104,1173.5,675.136,6.64,601.1,11,4m
47,348,60,29,587,123,38,682,1571,50,GP03,35.97559505,84.27468959,1,0.32,3.98,170.39,0.996,1214.038,302.329,7.48,755.7,-7,7m
60,332,93,84,572,152,41,139,3997,78,FW215,35.97571524,84.27472215,0,13.4386,61.9627,NA,-1.075,7.845,1068.381,7.48,601.9,-223,control
27,318,77,45,650,86,49,109,3379,78,FW216,35.97567105,84.27471076,1,19.35,57.4379,NA,278.436,605.665,830.286,7,607.7,-368,7m
0,0,6,0,0,0,0,5,23,78,GP01,35.97564854,84.27470382,1,1.7634,51.848,NA,-5.101,406.683,828.182,7.03,655.7,-397,2m
21,146,185,79,251,97,0,772,1879,78,GP03,35.97559505,84.27468959,1,20.2502,56.1272,14.3145,-11.339,550.075,1349.322,7.05,600,-393,2m
0,4,3,0,0,0,0,3,9,78,MLSB3,35.97567215,84.27469319,1,3.8669,54.0828,NA,44.34,493.798,1364.782,7.05,598.4,11,4m
0,59,628,118,1178,1432,6,1377,5571,8,FW215,35.97571524,84.27472215,0,12.5,68.53,NA,293.135,135.122,1174.664,6.83,672.4,14,control
43,273,28,48,875,79,19,50,2487,8,FW216,35.97567105,84.27471076,1,2.49,45.15,94.7,2404.251,11604.201,1118.615,6.91,720.7,-67,2m
10,96,23,13,221,10,14,3,4268,8,GP01,35.97564854,84.27470382,1,NA,52.78,189.67,146.407,11889.884,1041.662,6.99,713.5,-96,2m
29,372,159895,11731,846,58,41,205109,24941,8,GP03,35.97559505,84.27468959,1,0.88,50.33,64.61,2222.183,8272.572,989.876,6.93,594.1,-22,4m
27,175,18,15,831,59,35,8,1949,8,MLSB3,35.97567215,84.27469319,1,NA,33.41,610.66,4579.997,1849.679,1076.655,6.93,782.8,-62,7m