index,Nitrate(mg/L),Sulfate(mg/L),Acetate(uM),Iron(ppb),Mn(ppb),U(ppb),pH,hydro(us/cm),ReDox(mV)
1-EVO-FW216,9.5,63.18,na,13.103,158.886,1245.155,7.46,762.2,-110
106-CONTROL,20.6448,63.9647,63.7513,5.368,237.627,855.005,7.66,602.3,-23
106-EVO-FW216,27.4708,62.0951,70.4136,-11.687,636.436,1133.071,6.72,617.9,25
106-EVO-GP01,27.4569,60.4031,105.8124,814.108,149.72,685.838,6.6,730.9,24
106-EVO-GP03,10.3373,59.4923,256.7487,14003.95,8327.689,268.699,6.62,604.6,25
106-EVO-MLSB3,6.8527,59.2133,10.0046,2197.104,1173.5,675.136,6.64,601.1,11
50-EVO-GP03,0.32,3.98,170.39,0.996,1214.038,302.329,7.48,755.7,-7
78-CONTROL,13.4386,61.9627,na,-1.075,7.845,1068.381,7.48,601.9,-223
78-EVO-FW216,19.35,57.4379,na,278.436,605.665,830.286,7,607.7,-368
78-EVO-GP01,1.7634,51.848,na,-5.101,406.683,828.182,7.03,655.7,-397
78-EVO-GP03,20.2502,56.1272,14.3145,-11.339,550.075,1349.322,7.05,600,-393
78-EVO-MLSB3,3.8669,54.0828,na,44.34,493.798,1364.782,7.05,598.4,11
8-CONTROL,12.5,68.53,na,293.135,135.122,1174.664,6.83,672.4,14
8-EVO-FW216,2.49,45.15,94.7,2404.251,11604.201,1118.615,6.91,720.7,-67
8-EVO-GP01,na,52.78,189.67,146.407,11889.884,1041.662,6.99,713.5,-96
8-EVO-GP03,0.88,50.33,64.61,2222.183,8272.572,989.876,6.93,594.1,-22
8-EVO-MLSB3,na,33.41,610.66,4579.997,1849.679,1076.655,6.93,782.8,-62